starttime	seconds	ctime	dtime	ttime	wait
Thu Aug 06 21:27:52 2015	1438885672	13	1	13	0
Thu Aug 06 21:27:45 2015	1438885665	15	0	15	0
Thu Aug 06 21:27:45 2015	1438885665	15	1	15	0
Thu Aug 06 21:27:51 2015	1438885671	16	0	16	0
Thu Aug 06 21:27:51 2015	1438885671	16	0	16	0
Thu Aug 06 21:27:44 2015	1438885664	16	0	16	0
Thu Aug 06 21:27:44 2015	1438885664	17	0	17	0
Thu Aug 06 21:27:51 2015	1438885671	17	0	17	0
Thu Aug 06 21:27:45 2015	1438885665	15	2	17	0
Thu Aug 06 21:27:48 2015	1438885668	18	0	18	0
Thu Aug 06 21:27:47 2015	1438885667	18	0	18	0
Thu Aug 06 21:27:48 2015	1438885668	18	0	19	0
Thu Aug 06 21:27:47 2015	1438885667	16	3	19	0
Thu Aug 06 21:27:46 2015	1438885666	17	2	19	0
Thu Aug 06 21:27:44 2015	1438885664	19	0	19	0
Thu Aug 06 21:27:48 2015	1438885668	19	0	19	0
Thu Aug 06 21:27:47 2015	1438885667	19	0	19	0
Thu Aug 06 21:27:43 2015	1438885663	19	1	20	0
Thu Aug 06 21:27:47 2015	1438885667	20	0	20	0
Thu Aug 06 21:27:50 2015	1438885670	19	2	20	0
Thu Aug 06 21:27:41 2015	1438885661	21	0	21	0
Thu Aug 06 21:27:45 2015	1438885665	21	0	21	0
Thu Aug 06 21:27:54 2015	1438885674	22	0	22	0
Thu Aug 06 21:27:51 2015	1438885671	22	0	22	0
Thu Aug 06 21:27:48 2015	1438885668	21	2	22	0
Thu Aug 06 21:27:47 2015	1438885667	22	1	22	0
Thu Aug 06 21:27:56 2015	1438885676	22	0	22	0
Thu Aug 06 21:27:55 2015	1438885675	18	4	22	0
Thu Aug 06 21:27:47 2015	1438885667	23	0	23	0
Thu Aug 06 21:27:47 2015	1438885667	22	0	23	0
Thu Aug 06 21:27:51 2015	1438885671	22	0	23	0
Thu Aug 06 21:27:56 2015	1438885676	22	0	23	0
Thu Aug 06 21:27:47 2015	1438885667	23	0	23	0
Thu Aug 06 21:27:56 2015	1438885676	23	0	23	0
Thu Aug 06 21:27:56 2015	1438885676	23	0	23	0
Thu Aug 06 21:27:56 2015	1438885676	22	1	23	0
Thu Aug 06 21:27:47 2015	1438885667	23	1	23	0
Thu Aug 06 21:27:51 2015	1438885671	23	0	23	0
Thu Aug 06 21:27:54 2015	1438885674	18	5	23	0
Thu Aug 06 21:27:56 2015	1438885676	23	0	23	0
Thu Aug 06 21:27:46 2015	1438885666	22	1	23	0
Thu Aug 06 21:27:53 2015	1438885673	23	1	23	0
Thu Aug 06 21:27:53 2015	1438885673	23	0	24	0
Thu Aug 06 21:27:45 2015	1438885665	23	1	24	0
Thu Aug 06 21:27:50 2015	1438885670	24	0	24	0
Thu Aug 06 21:27:47 2015	1438885667	24	0	24	0
Thu Aug 06 21:27:47 2015	1438885667	24	0	24	0
Thu Aug 06 21:27:54 2015	1438885674	24	0	24	0
