starttime	seconds	ctime	dtime	ttime	wait
Thu Aug 06 21:39:05 2015	1438886345	4	0	4	0
Thu Aug 06 21:39:13 2015	1438886353	5	0	5	0
Thu Aug 06 21:39:18 2015	1438886358	5	0	5	0
Thu Aug 06 21:39:15 2015	1438886355	5	0	5	0
Thu Aug 06 21:39:19 2015	1438886359	5	0	5	0
Thu Aug 06 21:39:18 2015	1438886358	5	0	5	0
Thu Aug 06 21:39:04 2015	1438886344	5	0	6	0
Thu Aug 06 21:39:18 2015	1438886358	5	0	6	0
Thu Aug 06 21:39:20 2015	1438886360	6	0	6	0
Thu Aug 06 21:39:15 2015	1438886355	6	0	6	0
Thu Aug 06 21:39:05 2015	1438886345	6	0	6	0
Thu Aug 06 21:39:18 2015	1438886358	6	0	6	0
Thu Aug 06 21:39:04 2015	1438886344	6	0	6	0
Thu Aug 06 21:39:15 2015	1438886355	6	0	6	0
Thu Aug 06 21:39:12 2015	1438886352	6	0	6	0
Thu Aug 06 21:39:08 2015	1438886348	6	0	6	0
Thu Aug 06 21:39:19 2015	1438886359	6	0	7	0
Thu Aug 06 21:39:15 2015	1438886355	6	0	7	0
Thu Aug 06 21:39:12 2015	1438886352	7	0	7	0
Thu Aug 06 21:39:15 2015	1438886355	6	0	7	0
Thu Aug 06 21:39:04 2015	1438886344	7	0	7	0
Thu Aug 06 21:39:06 2015	1438886346	7	0	7	0
Thu Aug 06 21:39:06 2015	1438886346	7	0	7	0
Thu Aug 06 21:39:15 2015	1438886355	7	0	7	0
Thu Aug 06 21:39:06 2015	1438886346	7	0	7	0
Thu Aug 06 21:39:03 2015	1438886343	7	0	7	0
Thu Aug 06 21:39:03 2015	1438886343	7	0	8	0
Thu Aug 06 21:39:03 2015	1438886343	7	0	8	0
Thu Aug 06 21:39:14 2015	1438886354	7	0	8	0
Thu Aug 06 21:39:04 2015	1438886344	8	0	8	0
Thu Aug 06 21:39:10 2015	1438886350	8	0	8	0
Thu Aug 06 21:39:14 2015	1438886354	7	0	8	0
Thu Aug 06 21:39:03 2015	1438886343	7	0	8	0
Thu Aug 06 21:39:14 2015	1438886354	8	0	8	0
Thu Aug 06 21:39:18 2015	1438886358	8	0	8	0
Thu Aug 06 21:39:03 2015	1438886343	8	0	8	0
Thu Aug 06 21:39:20 2015	1438886360	8	0	8	0
Thu Aug 06 21:39:03 2015	1438886343	8	0	8	0
Thu Aug 06 21:39:20 2015	1438886360	7	1	8	0
Thu Aug 06 21:39:18 2015	1438886358	8	0	8	0
Thu Aug 06 21:39:20 2015	1438886360	8	0	8	0
Thu Aug 06 21:39:18 2015	1438886358	8	0	8	0
Thu Aug 06 21:39:03 2015	1438886343	8	0	8	0
Thu Aug 06 21:39:15 2015	1438886355	8	1	8	0
Thu Aug 06 21:39:14 2015	1438886354	8	0	8	0
Thu Aug 06 21:39:07 2015	1438886347	8	0	8	0
Thu Aug 06 21:39:15 2015	1438886355	8	0	8	0
