starttime	seconds	ctime	dtime	ttime	wait
Thu Aug 06 21:41:25 2015	1438886485	2	0	2	0
Thu Aug 06 21:41:18 2015	1438886478	2	0	2	0
Thu Aug 06 21:41:15 2015	1438886475	2	0	2	0
Thu Aug 06 21:41:21 2015	1438886481	2	0	2	0
Thu Aug 06 21:41:19 2015	1438886479	2	0	2	0
Thu Aug 06 21:41:26 2015	1438886486	2	0	2	0
Thu Aug 06 21:41:23 2015	1438886483	2	0	2	0
Thu Aug 06 21:41:25 2015	1438886485	2	0	2	0
Thu Aug 06 21:41:25 2015	1438886485	2	0	2	0
Thu Aug 06 21:41:22 2015	1438886482	2	0	2	0
Thu Aug 06 21:41:25 2015	1438886485	2	0	2	0
Thu Aug 06 21:41:25 2015	1438886485	2	0	3	0
Thu Aug 06 21:41:21 2015	1438886481	2	0	3	0
Thu Aug 06 21:41:25 2015	1438886485	2	0	3	0
Thu Aug 06 21:41:22 2015	1438886482	3	0	3	0
Thu Aug 06 21:41:15 2015	1438886475	3	0	3	0
Thu Aug 06 21:41:21 2015	1438886481	2	0	3	0
Thu Aug 06 21:41:26 2015	1438886486	3	0	3	0
Thu Aug 06 21:41:26 2015	1438886486	3	0	3	0
Thu Aug 06 21:41:21 2015	1438886481	2	0	3	0
Thu Aug 06 21:41:21 2015	1438886481	2	0	3	0
Thu Aug 06 21:41:21 2015	1438886481	2	0	3	0
Thu Aug 06 21:41:21 2015	1438886481	3	0	3	0
Thu Aug 06 21:41:26 2015	1438886486	3	0	3	0
Thu Aug 06 21:41:23 2015	1438886483	3	0	3	0
Thu Aug 06 21:41:09 2015	1438886469	3	0	3	0
Thu Aug 06 21:41:09 2015	1438886469	3	0	3	0
Thu Aug 06 21:41:20 2015	1438886480	3	0	3	0
Thu Aug 06 21:41:24 2015	1438886484	3	0	3	0
Thu Aug 06 21:41:12 2015	1438886472	3	0	3	0
Thu Aug 06 21:41:09 2015	1438886469	3	0	3	0
Thu Aug 06 21:41:20 2015	1438886480	3	0	3	0
Thu Aug 06 21:41:21 2015	1438886481	3	0	3	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	3	0
Thu Aug 06 21:41:20 2015	1438886480	3	0	3	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	3	0
Thu Aug 06 21:41:15 2015	1438886475	3	0	3	0
Thu Aug 06 21:41:24 2015	1438886484	3	0	3	0
Thu Aug 06 21:41:26 2015	1438886486	3	0	3	0
Thu Aug 06 21:41:22 2015	1438886482	3	0	3	0
Thu Aug 06 21:41:22 2015	1438886482	3	0	3	0
Thu Aug 06 21:41:22 2015	1438886482	3	0	3	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	3	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	3	0
Thu Aug 06 21:41:16 2015	1438886476	3	0	3	0
Thu Aug 06 21:41:16 2015	1438886476	3	0	3	0
Thu Aug 06 21:41:22 2015	1438886482	3	0	3	0
Thu Aug 06 21:41:23 2015	1438886483	3	0	3	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	3	0
Thu Aug 06 21:41:22 2015	1438886482	3	0	3	0
Thu Aug 06 21:41:22 2015	1438886482	3	0	3	0
Thu Aug 06 21:41:16 2015	1438886476	3	0	3	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	3	0
Thu Aug 06 21:41:18 2015	1438886478	3	0	3	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	3	0
Thu Aug 06 21:41:22 2015	1438886482	3	0	3	0
Thu Aug 06 21:41:16 2015	1438886476	3	0	3	0
Thu Aug 06 21:41:16 2015	1438886476	3	0	3	0
Thu Aug 06 21:41:25 2015	1438886485	2	1	3	0
Thu Aug 06 21:41:26 2015	1438886486	3	0	3	0
Thu Aug 06 21:41:20 2015	1438886480	3	0	3	0
Thu Aug 06 21:41:20 2015	1438886480	3	0	3	0
Thu Aug 06 21:41:15 2015	1438886475	3	0	3	0
Thu Aug 06 21:41:11 2015	1438886471	3	0	3	0
Thu Aug 06 21:41:09 2015	1438886469	3	0	3	0
Thu Aug 06 21:41:21 2015	1438886481	3	0	3	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	3	0
Thu Aug 06 21:41:21 2015	1438886481	3	0	3	0
Thu Aug 06 21:41:26 2015	1438886486	3	0	3	0
Thu Aug 06 21:41:16 2015	1438886476	3	0	3	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	3	0
Thu Aug 06 21:41:23 2015	1438886483	3	0	3	0
Thu Aug 06 21:41:26 2015	1438886486	3	0	3	0
